filtered-0-temperature,filtered-0-rainfall,filtered-0-humidity,filtered-0-crime_overall,filtered-0-oil_price,filtered-0-exchange_taiwan,filtered-0-exchange_usa,unfiltered-month=1,unfiltered-month=2,unfiltered-month=6,unfiltered-month=8,unfiltered-month=9,unfiltered-day_of_week=Saturday,unfiltered-day_of_week=Monday,unfiltered-day_of_week=Tuesday,unfiltered-day_of_week=Wednesday,unfiltered-Holiday_China=Z,unfiltered-Holiday_China=C,unfiltered-Holiday_China=D,unfiltered-Holiday_China=E,unfiltered-Holiday_China=G,unfiltered-Holiday_China=B,unfiltered-Holiday_Taiwan=Z,unfiltered-Holiday_Taiwan=B,unfiltered-Holiday_Macau=C,unfiltered-Holiday_Macau=D,unfiltered-Holiday_Macau=H,unfiltered-Holiday_SouthKorea=R,unfiltered-max_signal=0,unfiltered-typhoon_present_binarized,unfiltered-typhoon_high_signal_binarized,y,predicted_y,difference,percentage_diff
-1.766237,-0.262314,-2.506155,0.418657,-0.849731,-1.096783,-1.425383,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,175265,143686.57571029093,31578.424289709073,18.01753019125842
-1.623952,-0.262314,-1.704242,0.418657,-0.686822,-1.127469,-1.557712,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,140505,131139.25406477973,9365.745935220271,6.6657741256327325
-1.441015,-0.262314,-1.882445,0.418657,-0.606236,-1.188842,-1.69405,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,133716,129653.4832014325,4062.516798567507,3.0381680566031792
-1.217424,-0.260384,-0.456822,0.418657,-0.849731,-1.204185,-1.72212,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,122005,119084.08211934466,2920.917880655339,2.394096865419728
-0.892202,-0.262314,-0.189517,0.418657,-0.587479,-1.250215,-1.665981,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,112920,117167.03599766828,-4247.035997668281,-3.761101662830572
-1.07514,-0.262314,-0.100416,0.418657,-0.573238,-1.357617,-1.898558,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,133495,124338.12339673477,9156.876603265235,6.8593405020901415
-1.542647,-0.262314,-2.951662,0.418657,-0.849731,-1.357617,-1.894548,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,175642,178414.2032499551,-2772.2032499551133,-1.5783259413779809
-1.847543,-0.262314,-1.704242,0.418657,-0.849731,-1.357617,-1.818359,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,142162,143936.76375027877,-1774.7637502787693,-1.2484093852638323
-1.380036,-0.262314,-1.169633,0.418657,-0.48501,-1.342274,-1.842418,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,135561,128408.75474984296,7152.245250157037,5.276034589710195
-0.953181,-0.260384,-1.882445,0.418657,-0.389141,-1.265558,-1.68202,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,156366,134644.71173020708,21721.288269792916,13.891311582948285
