Open,Close,High,Low,Date
76.91,77.69,77.84,76.13,3/1/2023
75.75,77.05,77.83,75.55,02/28/23
76.42,75.68,76.82,74.99,02/27/23
75.63,76.32,76.62,74.1,02/24/23
73.94,75.39,75.99,73.84,02/23/23
76.18,73.95,76.55,73.8,02/22/23
76.56,76.36,77.74,75.91,02/21/23
78.02,76.55,78.27,75.05,02/17/23
78.59,78.49,79.53,77.93,02/16/23
78.85,78.59,79.15,77.26,02/15/23
79.13,79.06,79.61,77.47,02/14/23
79.87,80.14,80.61,78.45,02/13/23
77.66,79.72,80.34,77.47,2/10/2023
78.47,78.06,78.84,76.52,2/9/2023
77.53,78.47,78.58,77.09,2/8/2023
74.5,77.14,77.6,74.34,2/7/2023
73.24,74.11,74.52,72.26,2/6/2023
75.87,73.39,78,73.1,2/3/2023
76.71,75.88,77.24,74.95,2/2/2023
79.04,76.41,79.73,76.05,2/1/2023
77.87,78.87,79.26,76.53,01/31/23
79.74,77.9,80.48,77.66,01/30/23
81.15,79.68,82.48,79.05,01/27/23
80.46,81.01,82.13,79.93,01/26/23
80.26,80.15,81.23,79.45,01/25/23
81.56,80.13,82.23,79.66,01/24/23
81.74,81.62,82.75,81.05,01/23/23
0,81.64,81.9,79.91,01/20/23
78.9,80.33,81.21,78.11,01/19/23
80.86,79.48,82.38,78.89,01/18/23
80.05,80.18,81.22,78.54,01/17/23
78.29,79.86,80.12,77.98,01/13/23
77.65,78.39,79.17,77.1,1/12/2023
74.84,77.41,77.83,74.29,1/11/2023
74.88,75.12,75.94,73.84,1/10/2023
73.59,74.63,76.73,73.51,1/9/2023
73.96,73.77,75.47,73.25,1/6/2023
73.11,73.67,74.93,72.45,1/5/2023
77.12,72.84,77.41,72.74,1/4/2023
80.47,76.93,81.5,76.62,1/3/2023
78.72,80.26,80.71,77.72,12/30/22
78.9,78.4,78.92,76.8,12/29/22
79.88,78.96,79.95,77.3,12/28/22
79.88,79.53,81.18,79.15,12/27/22
