Date,y
13/3/2020,3697
14/3/2020,4395
15/3/2020,4584
16/3/2020,4854
17/3/2020,4009
18/3/2020,4307
19/3/2020,1194
20/3/2020,1371
21/3/2020,1238
22/3/2020,1141
23/3/2020,1133
24/3/2020,2246
25/3/2020,328
26/3/2020,287
27/3/2020,330
28/3/2020,306
29/3/2020,354
30/3/2020,245
31/3/2020,250
1/4/2020,136
2/4/2020,85
3/4/2020,125
4/4/2020,96
5/4/2020,138
6/4/2020,114
7/4/2020,100
8/4/2020,130
9/4/2020,111
10/4/2020,186
11/4/2020,128
12/4/2020,133
13/4/2020,125
14/4/2020,92
15/4/2020,117
16/4/2020,106
17/4/2020,113
18/4/2020,118
19/4/2020,115
20/4/2020,109
21/4/2020,96
22/4/2020,98
23/4/2020,80
24/4/2020,66
25/4/2020,99
26/4/2020,106
27/4/2020,86
28/4/2020,117
29/4/2020,93
30/4/2020,177
1/5/2020,149
2/5/2020,139
3/5/2020,177
4/5/2020,128
5/5/2020,98
6/5/2020,107
7/5/2020,117
8/5/2020,205
9/5/2020,241
10/5/2020,264
11/5/2020,228
12/5/2020,240
13/5/2020,163
14/5/2020,177
15/5/2020,189
16/5/2020,339
17/5/2020,261
18/5/2020,203
19/5/2020,152
20/5/2020,188
21/5/2020,183
22/5/2020,217
23/5/2020,403
24/5/2020,518
25/5/2020,329
26/5/2020,212
27/5/2020,150
28/5/2020,196
29/5/2020,159
30/5/2020,210
31/5/2020,355
1/6/2020,265
2/6/2020,189
3/6/2020,257
4/6/2020,277
5/6/2020,298
6/6/2020,347
7/6/2020,447
8/6/2020,446
9/6/2020,312
10/6/2020,312
11/6/2020,218
12/6/2020,304
13/6/2020,313
14/6/2020,223
15/6/2020,266
16/6/2020,230
17/6/2020,217
18/6/2020,203
19/6/2020,219
20/6/2020,254
21/6/2020,235
22/6/2020,263
23/6/2020,193
24/6/2020,177
25/6/2020,153
26/6/2020,190
27/6/2020,156
28/6/2020,206
29/6/2020,132
30/6/2020,264
1/7/2020,184
2/7/2020,181
3/7/2020,227
4/7/2020,237
5/7/2020,274
6/7/2020,208
7/7/2020,226
8/7/2020,303
9/7/2020,229
10/7/2020,295
11/7/2020,266
12/7/2020,227
13/7/2020,189
14/7/2020,161
15/7/2020,157
16/7/2020,137
17/7/2020,164
18/7/2020,144
19/7/2020,138
20/7/2020,114
21/7/2020,105
22/7/2020,108
23/7/2020,82
24/7/2020,97
25/7/2020,86
26/7/2020,101
27/7/2020,78
28/7/2020,111
29/7/2020,59
30/7/2020,65
31/7/2020,116
1/8/2020,75
2/8/2020,93
3/8/2020,62
4/8/2020,80
5/8/2020,86
6/8/2020,69
7/8/2020,100
8/8/2020,93
9/8/2020,86
10/8/2020,87
11/8/2020,85
12/8/2020,92
13/8/2020,83
14/8/2020,110
15/8/2020,168
16/8/2020,99
17/8/2020,107
18/8/2020,73
19/8/2020,56
20/8/2020,130
21/8/2020,186
22/8/2020,103
23/8/2020,135
24/8/2020,72
25/8/2020,91
26/8/2020,100
27/8/2020,94
28/8/2020,142
29/8/2020,134
30/8/2020,165
31/8/2020,123
1/9/2020,102
2/9/2020,140
3/9/2020,110
4/9/2020,163
5/9/2020,208
6/9/2020,341
7/9/2020,212
8/9/2020,366
9/9/2020,390
10/9/2020,209
11/9/2020,251
12/9/2020,327
13/9/2020,537
14/9/2020,351
15/9/2020,330
16/9/2020,233
17/9/2020,134
18/9/2020,184
19/9/2020,261
20/9/2020,396
21/9/2020,235
22/9/2020,162
23/9/2020,197
24/9/2020,150
25/9/2020,184
26/9/2020,173
27/9/2020,198
28/9/2020,165
29/9/2020,180
30/9/2020,191
1/10/2020,211
2/10/2020,204
3/10/2020,216
4/10/2020,297
5/10/2020,182
6/10/2020,123
7/10/2020,120
8/10/2020,115
9/10/2020,149
10/10/2020,205
11/10/2020,252
12/10/2020,188
13/10/2020,123
14/10/2020,189
15/10/2020,231
16/10/2020,205
17/10/2020,204
18/10/2020,272
19/10/2020,165
20/10/2020,249
21/10/2020,204
22/10/2020,207
23/10/2020,210
24/10/2020,182
25/10/2020,298
26/10/2020,173
27/10/2020,155
28/10/2020,145
29/10/2020,124
30/10/2020,154
31/10/2020,166
1/11/2020,241
2/11/2020,154
3/11/2020,195
4/11/2020,186
5/11/2020,190
6/11/2020,151
7/11/2020,156
8/11/2020,206
9/11/2020,115
10/11/2020,147
11/11/2020,153
12/11/2020,194
13/11/2020,138
14/11/2020,145
15/11/2020,170
16/11/2020,132
17/11/2020,131
18/11/2020,141
19/11/2020,130
20/11/2020,126
21/11/2020,169
22/11/2020,137
23/11/2020,126
24/11/2020,97
25/11/2020,94
26/11/2020,107
27/11/2020,120
28/11/2020,110
29/11/2020,144
30/11/2020,98
1/12/2020,90
2/12/2020,119
3/12/2020,104
4/12/2020,112
5/12/2020,107
6/12/2020,131
7/12/2020,148
8/12/2020,100
9/12/2020,113
10/12/2020,203
11/12/2020,124
12/12/2020,93
13/12/2020,105
14/12/2020,100
15/12/2020,120
16/12/2020,109
17/12/2020,87
18/12/2020,117
19/12/2020,80
20/12/2020,126
21/12/2020,87
22/12/2020,100
23/12/2020,98
24/12/2020,97
25/12/2020,58
26/12/2020,64
27/12/2020,82
28/12/2020,68
29/12/2020,60
30/12/2020,91
31/12/2020,74
1/1/2021,55
2/1/2021,90
3/1/2021,83
4/1/2021,84
5/1/2021,96
6/1/2021,84
7/1/2021,92
8/1/2021,114
9/1/2021,118
10/1/2021,124
11/1/2021,87
12/1/2021,77
13/1/2021,88
14/1/2021,77
15/1/2021,120
16/1/2021,175
17/1/2021,126
18/1/2021,97
19/1/2021,119
20/1/2021,118
21/1/2021,125
22/1/2021,109
23/1/2021,150
24/1/2021,177
25/1/2021,108
26/1/2021,106
27/1/2021,134
28/1/2021,112
29/1/2021,87
30/1/2021,98
31/1/2021,94
1/2/2021,78
2/2/2021,88
3/2/2021,92
4/2/2021,76
5/2/2021,106
6/2/2021,111
7/2/2021,112
8/2/2021,93
9/2/2021,90
10/2/2021,94
11/2/2021,53
12/2/2021,36
13/2/2021,52
14/2/2021,115
15/2/2021,109
16/2/2021,137
17/2/2021,186
18/2/2021,218
19/2/2021,253
20/2/2021,293
21/2/2021,307
22/2/2021,261
23/2/2021,186
24/2/2021,160
25/2/2021,211
26/2/2021,146
27/2/2021,299
28/2/2021,301
1/3/2021,234
2/3/2021,196
3/3/2021,218
4/3/2021,210
5/3/2021,178
6/3/2021,209
7/3/2021,287
8/3/2021,169
9/3/2021,131
10/3/2021,203
11/3/2021,135
12/3/2021,166
13/3/2021,167
14/3/2021,204
15/3/2021,172
16/3/2021,151
17/3/2021,142
18/3/2021,162
19/3/2021,120
20/3/2021,190
21/3/2021,148
22/3/2021,144
23/3/2021,115
24/3/2021,134
25/3/2021,119
26/3/2021,120
27/3/2021,130
28/3/2021,169
29/3/2021,108
30/3/2021,116
31/3/2021,156
1/4/2021,108
2/4/2021,222
3/4/2021,117
4/4/2021,98
5/4/2021,127
6/4/2021,173
7/4/2021,168
8/4/2021,245
9/4/2021,197
10/4/2021,249
11/4/2021,228
12/4/2021,128
13/4/2021,120
14/4/2021,171
15/4/2021,173
16/4/2021,125
17/4/2021,135
18/4/2021,161
19/4/2021,107
20/4/2021,149
21/4/2021,122
22/4/2021,110
23/4/2021,106
24/4/2021,137
25/4/2021,177
26/4/2021,93
27/4/2021,96
28/4/2021,106
29/4/2021,166
30/4/2021,124
1/5/2021,112
2/5/2021,155
3/5/2021,85
4/5/2021,96
5/5/2021,76
6/5/2021,106
7/5/2021,143
8/5/2021,117
9/5/2021,171
10/5/2021,111
11/5/2021,80
12/5/2021,156
13/5/2021,86
14/5/2021,145
15/5/2021,190
16/5/2021,192
17/5/2021,216
18/5/2021,194
19/5/2021,146
20/5/2021,168
21/5/2021,127
22/5/2021,162
23/5/2021,165
24/5/2021,97
25/5/2021,123
26/5/2021,159
27/5/2021,196
28/5/2021,174
29/5/2021,157
30/5/2021,166
31/5/2021,93
1/6/2021,167
2/6/2021,136
3/6/2021,172
4/6/2021,128
5/6/2021,183
6/6/2021,351
7/6/2021,107
8/6/2021,131
9/6/2021,129
10/6/2021,165
11/6/2021,150
12/6/2021,341
13/6/2021,197
14/6/2021,85
15/6/2021,97
16/6/2021,117
17/6/2021,123
18/6/2021,139
19/6/2021,177
20/6/2021,190
21/6/2021,103
22/6/2021,173
23/6/2021,179
24/6/2021,131
25/6/2021,127
26/6/2021,182
27/6/2021,163
28/6/2021,122
29/6/2021,165
30/6/2021,164
1/7/2021,178
2/7/2021,185
3/7/2021,193
4/7/2021,234
5/7/2021,154
6/7/2021,153
7/7/2021,196
8/7/2021,161
9/7/2021,193
10/7/2021,211
11/7/2021,259
12/7/2021,154
13/7/2021,203
14/7/2021,209
15/7/2021,246
16/7/2021,230
17/7/2021,200
18/7/2021,251
19/7/2021,159
20/7/2021,144
21/7/2021,162
22/7/2021,173
23/7/2021,201
24/7/2021,172
25/7/2021,202
26/7/2021,124
27/7/2021,152
28/7/2021,141
29/7/2021,225
30/7/2021,179
31/7/2021,190
1/8/2021,249
2/8/2021,195
3/8/2021,216
4/8/2021,193
5/8/2021,175
6/8/2021,205
7/8/2021,251
8/8/2021,251
9/8/2021,208
10/8/2021,263
11/8/2021,228
12/8/2021,252
13/8/2021,241
14/8/2021,249
15/8/2021,243
16/8/2021,359
17/8/2021,297
18/8/2021,301
19/8/2021,358
20/8/2021,326
21/8/2021,270
22/8/2021,359
23/8/2021,331
24/8/2021,363
25/8/2021,357
26/8/2021,342
27/8/2021,306
28/8/2021,355
29/8/2021,381
30/8/2021,483
31/8/2021,429
1/9/2021,392
2/9/2021,257
3/9/2021,235
4/9/2021,271
5/9/2021,328
6/9/2021,197
7/9/2021,210
8/9/2021,165
9/9/2021,175
10/9/2021,193
11/9/2021,181
12/9/2021,145
13/9/2021,100
14/9/2021,98
15/9/2021,332
16/9/2021,331
17/9/2021,324
18/9/2021,396
19/9/2021,376
20/9/2021,260
21/9/2021,175
22/9/2021,287
23/9/2021,283
24/9/2021,297
25/9/2021,350
26/9/2021,291
27/9/2021,199
28/9/2021,299
29/9/2021,317
30/9/2021,337
1/10/2021,212
2/10/2021,286
3/10/2021,287
4/10/2021,231
5/10/2021,151
6/10/2021,200
7/10/2021,170
8/10/2021,226
9/10/2021,275
10/10/2021,356
11/10/2021,210
12/10/2021,251
13/10/2021,275
14/10/2021,308
15/10/2021,250
16/10/2021,267
17/10/2021,329
18/10/2021,243
19/10/2021,214
20/10/2021,263
21/10/2021,201
22/10/2021,237
23/10/2021,264
24/10/2021,333
25/10/2021,273
26/10/2021,261
27/10/2021,266
28/10/2021,202
29/10/2021,221
30/10/2021,240
31/10/2021,254
1/11/2021,226
2/11/2021,225
3/11/2021,287
4/11/2021,225
5/11/2021,340
6/11/2021,525
7/11/2021,344
8/11/2021,228
9/11/2021,237
10/11/2021,292
11/11/2021,256
12/11/2021,286
13/11/2021,300
14/11/2021,295
15/11/2021,242
16/11/2021,222
17/11/2021,269
18/11/2021,190
19/11/2021,224
20/11/2021,271
21/11/2021,243
22/11/2021,154
23/11/2021,203
24/11/2021,208
25/11/2021,235
26/11/2021,209
27/11/2021,232
28/11/2021,244
29/11/2021,170
30/11/2021,205
1/12/2021,374
2/12/2021,292
3/12/2021,321
4/12/2021,249
5/12/2021,317
6/12/2021,195
7/12/2021,182
8/12/2021,197
9/12/2021,210
10/12/2021,239
11/12/2021,214
12/12/2021,283
13/12/2021,183
14/12/2021,293
15/12/2021,289
16/12/2021,400
17/12/2021,259
18/12/2021,323
19/12/2021,323
20/12/2021,256
21/12/2021,242
22/12/2021,275
23/12/2021,261
24/12/2021,233
25/12/2021,203
26/12/2021,194
27/12/2021,168
28/12/2021,195
29/12/2021,220
30/12/2021,208
31/12/2021,200
1/1/2022,162
2/1/2022,194
3/1/2022,150
4/1/2022,180
5/1/2022,175
6/1/2022,192
7/1/2022,235
8/1/2022,213
9/1/2022,257
10/1/2022,158
11/1/2022,186
12/1/2022,219
13/1/2022,255
14/1/2022,253
15/1/2022,286
16/1/2022,286
17/1/2022,163
18/1/2022,196
19/1/2022,209
20/1/2022,277
21/1/2022,230
22/1/2022,290
23/1/2022,266
24/1/2022,172
25/1/2022,186
26/1/2022,216
27/1/2022,229
28/1/2022,237
29/1/2022,227
30/1/2022,178
31/1/2022,90
1/2/2022,47
2/2/2022,79
3/2/2022,75
4/2/2022,119
5/2/2022,108
6/2/2022,155
7/2/2022,99
8/2/2022,88
9/2/2022,75
10/2/2022,108
11/2/2022,58
12/2/2022,88
13/2/2022,87
14/2/2022,53
15/2/2022,42
16/2/2022,77
17/2/2022,72
18/2/2022,68
19/2/2022,62
20/2/2022,58
21/2/2022,50
22/2/2022,38
23/2/2022,44
24/2/2022,79
25/2/2022,71
26/2/2022,29
27/2/2022,67
28/2/2022,36
1/3/2022,47
2/3/2022,42
3/3/2022,44
4/3/2022,87
5/3/2022,37
6/3/2022,43
7/3/2022,22
8/3/2022,35
9/3/2022,36
10/3/2022,28
11/3/2022,62
12/3/2022,29
13/3/2022,32
14/3/2022,63
15/3/2022,39
16/3/2022,30
17/3/2022,19
18/3/2022,49
19/3/2022,51
20/3/2022,31
21/3/2022,24
22/3/2022,32
23/3/2022,24
24/3/2022,24
25/3/2022,50
26/3/2022,76
27/3/2022,40
28/3/2022,65
29/3/2022,45
30/3/2022,33
31/3/2022,51
1/4/2022,103
2/4/2022,64
3/4/2022,72
4/4/2022,88
5/4/2022,87
6/4/2022,100
7/4/2022,124
8/4/2022,114
9/4/2022,86
10/4/2022,95
11/4/2022,95
12/4/2022,79
13/4/2022,85
14/4/2022,77
15/4/2022,93
16/4/2022,81
17/4/2022,97
18/4/2022,111
19/4/2022,92
20/4/2022,111
21/4/2022,108
22/4/2022,126
23/4/2022,173
24/4/2022,158
25/4/2022,164
26/4/2022,121
27/4/2022,144
28/4/2022,145
29/4/2022,164
30/4/2022,224
1/5/2022,397
2/5/2022,366
3/5/2022,216
4/5/2022,204
5/5/2022,205
6/5/2022,272
7/5/2022,306
8/5/2022,422
9/5/2022,351
10/5/2022,280
11/5/2022,351
12/5/2022,385
13/5/2022,384
14/5/2022,426
15/5/2022,586
16/5/2022,450
17/5/2022,470
18/5/2022,617
19/5/2022,893
20/5/2022,756
21/5/2022,662
22/5/2022,795
23/5/2022,769
24/5/2022,542
25/5/2022,1217
26/5/2022,756
27/5/2022,1018
28/5/2022,736
29/5/2022,1550
30/5/2022,729
31/5/2022,692
1/6/2022,1336
2/6/2022,1095
3/6/2022,1257
4/6/2022,908
5/6/2022,1670
6/6/2022,1200
7/6/2022,865
8/6/2022,1369
9/6/2022,1013
10/6/2022,1578
11/6/2022,1392
12/6/2022,1439
13/6/2022,1067
14/6/2022,1066
15/6/2022,1730
16/6/2022,1371
17/6/2022,1875
18/6/2022,1431
19/6/2022,1721
20/6/2022,1416
21/6/2022,1306
22/6/2022,1359
23/6/2022,1347
24/6/2022,1520
25/6/2022,1455
26/6/2022,1550
27/6/2022,1319
28/6/2022,1045
29/6/2022,1423
30/6/2022,1321
1/7/2022,1521
2/7/2022,1241
3/7/2022,1323
4/7/2022,1486
5/7/2022,969
6/7/2022,1543
7/7/2022,937
8/7/2022,1479
9/7/2022,1614
10/7/2022,1879
11/7/2022,1585
12/7/2022,1528
13/7/2022,1685
14/7/2022,1342
15/7/2022,1967
16/7/2022,1618
17/7/2022,1610
18/7/2022,1668
19/7/2022,1479
20/7/2022,1712
21/7/2022,1385
22/7/2022,1570
23/7/2022,1392
24/7/2022,1661
25/7/2022,1873
26/7/2022,1531
27/7/2022,1661
28/7/2022,1536
29/7/2022,1631
30/7/2022,1545
31/7/2022,1512
1/8/2022,1729
2/8/2022,1149
3/8/2022,1682
4/8/2022,1194
5/8/2022,1681
6/8/2022,1548
7/8/2022,1301
8/8/2022,1665
9/8/2022,1606
10/8/2022,1822
11/8/2022,1660
12/8/2022,2078
13/8/2022,1788
14/8/2022,1961
15/8/2022,1831
16/8/2022,1733
17/8/2022,2050
18/8/2022,1812
19/8/2022,2037
20/8/2022,1881
21/8/2022,2076
22/8/2022,1868
23/8/2022,1933
24/8/2022,2099
25/8/2022,1426
26/8/2022,3424
27/8/2022,2312
28/8/2022,2504
29/8/2022,2047
30/8/2022,2816
31/8/2022,2167
1/9/2022,2362
2/9/2022,2504
3/9/2022,2198
4/9/2022,2442
5/9/2022,1827
6/9/2022,2674
7/9/2022,2031
8/9/2022,2173
9/9/2022,2569
10/9/2022,1821
11/9/2022,2286
12/9/2022,2183
13/9/2022,2004
14/9/2022,2200
15/9/2022,2121
16/9/2022,2478
17/9/2022,1955
18/9/2022,2171
19/9/2022,2078
20/9/2022,2198
21/9/2022,2404
22/9/2022,1976
23/9/2022,1971
24/9/2022,1883
25/9/2022,1983
26/9/2022,1966
27/9/2022,2039
28/9/2022,2240
29/9/2022,2112
30/9/2022,2550
1/10/2022,2065
2/10/2022,2054
3/10/2022,2604
4/10/2022,1989
5/10/2022,2154
6/10/2022,2200
7/10/2022,2456
8/10/2022,2420
9/10/2022,2480
10/10/2022,2884
11/10/2022,2481
12/10/2022,2446
13/10/2022,2225
14/10/2022,2681
15/10/2022,2388
16/10/2022,2518
17/10/2022,2709
18/10/2022,2434
19/10/2022,2468
20/10/2022,2599
21/10/2022,2917
22/10/2022,2442
23/10/2022,2635
24/10/2022,2811
25/10/2022,2653
26/10/2022,2718
27/10/2022,2725
28/10/2022,3229
29/10/2022,2755
30/10/2022,3307
31/10/2022,2840
1/11/2022,3217
2/11/2022,2952
3/11/2022,3299
4/11/2022,3178
5/11/2022,3324
6/11/2022,3757
7/11/2022,3545
8/11/2022,3588
9/11/2022,3236
10/11/2022,3412
11/11/2022,3962
12/11/2022,3521
13/11/2022,4339
14/11/2022,4061
15/11/2022,3970
16/11/2022,3822
17/11/2022,3638
18/11/2022,3393
19/11/2022,3883
20/11/2022,3815
21/11/2022,4184
22/11/2022,3963
23/11/2022,4329
24/11/2022,3865
25/11/2022,3634
26/11/2022,3857
27/11/2022,4075
28/11/2022,3962
29/11/2022,3860
30/11/2022,4233
1/12/2022,3969
2/12/2022,3824
3/12/2022,4421
4/12/2022,4595
5/12/2022,5007
6/12/2022,4556
7/12/2022,4447
8/12/2022,4883
9/12/2022,3895
10/12/2022,4445
11/12/2022,4496
12/12/2022,4754
13/12/2022,4339
14/12/2022,4235
15/12/2022,5020
16/12/2022,4542
17/12/2022,4762
18/12/2022,4799
19/12/2022,4992
20/12/2022,5765
21/12/2022,5652
22/12/2022,6437
23/12/2022,6276
24/12/2022,6559
25/12/2022,6284
26/12/2022,5937
27/12/2022,5143
28/12/2022,5835
29/12/2022,6658
30/12/2022,6485
31/12/2022,5624
1/1/2023,5266
2/1/2023,4558
3/1/2023,5559
4/1/2023,6212
5/1/2023,7097
6/1/2023,7889
7/1/2023,10020
8/1/2023,10935
9/1/2023,10783
10/1/2023,11433
11/1/2023,12422
12/1/2023,13448
13/1/2023,16094
14/1/2023,18316
15/1/2023,16741
16/1/2023,15452
17/1/2023,15963
18/1/2023,19115
19/1/2023,21527
20/1/2023,24744
21/1/2023,20256
22/1/2023,18635
23/1/2023,25155
24/1/2023,27162
25/1/2023,24401
26/1/2023,25508
27/1/2023,22865
28/1/2023,19997
29/1/2023,18679
30/1/2023,21000
31/1/2023,20673
1/2/2023,23034
2/2/2023,24249
3/2/2023,26424
4/2/2023,28777
5/2/2023,21526
6/2/2023,33187
7/2/2023,33389
8/2/2023,37466
9/2/2023,40627
10/2/2023,51680
11/2/2023,65804
12/2/2023,54897
13/2/2023,48578
14/2/2023,45161
15/2/2023,51727
16/2/2023,55095
17/2/2023,65945
18/2/2023,87533
19/2/2023,63732
20/2/2023,54856
21/2/2023,54048
22/2/2023,58866
23/2/2023,60062
24/2/2023,72548
25/2/2023,102076
26/2/2023,73534
27/2/2023,62812
28/2/2023,63461
1/3/2023,68774
2/3/2023,67125
3/3/2023,77876
4/3/2023,104605
5/3/2023,77061
6/3/2023,61547
7/3/2023,58937
8/3/2023,67814
9/3/2023,68340
10/3/2023,79958
11/3/2023,112409
12/3/2023,80118
13/3/2023,68278
14/3/2023,63895
15/3/2023,66177
16/3/2023,72373
17/3/2023,89271
18/3/2023,122258
19/3/2023,91933
20/3/2023,73939
21/3/2023,73769
22/3/2023,74511
23/3/2023,79030
24/3/2023,98182
25/3/2023,114512
26/3/2023,79518
27/3/2023,67024
28/3/2023,70505
29/3/2023,73564
30/3/2023,69518
31/3/2023,80100
1/4/2023,115458
2/4/2023,74006
3/4/2023,58053
4/4/2023,55723
5/4/2023,78467
6/4/2023,62183
7/4/2023,70103
8/4/2023,98493
9/4/2023,76891
10/4/2023,69789
11/4/2023,89339
12/4/2023,93659
13/4/2023,88697
14/4/2023,98644
15/4/2023,141297
16/4/2023,104020
17/4/2023,90435
18/4/2023,95068
19/4/2023,85709
20/4/2023,87001
21/4/2023,100560
22/4/2023,117764
23/4/2023,97887
24/4/2023,84169
25/4/2023,80950
26/4/2023,88679
27/4/2023,93718
28/4/2023,123555
29/4/2023,193297
30/4/2023,178822
1/5/2023,145022
2/5/2023,124554
3/5/2023,81892
4/5/2023,73274
5/5/2023,85465
6/5/2023,88610
7/5/2023,90797
8/5/2023,71445
9/5/2023,75600
10/5/2023,93140
11/5/2023,93599
12/5/2023,91955
13/5/2023,152895
14/5/2023,93971
15/5/2023,79392
16/5/2023,80019
17/5/2023,77652
18/5/2023,83408
19/5/2023,95343
20/5/2023,138715
21/5/2023,96595
22/5/2023,74542
23/5/2023,70903
24/5/2023,74790
25/5/2023,79255
26/5/2023,87936
27/5/2023,125702
28/5/2023,91277
29/5/2023,73712
30/5/2023,67820
31/5/2023,69293
1/6/2023,76038
2/6/2023,84024
3/6/2023,112832
4/6/2023,85103
5/6/2023,74445
6/6/2023,76691
7/6/2023,79747
8/6/2023,76360
9/6/2023,91943
10/6/2023,129168
11/6/2023,97934
12/6/2023,79301
13/6/2023,75804
14/6/2023,76771
15/6/2023,77898
16/6/2023,88356
17/6/2023,119154
18/6/2023,90569
19/6/2023,79191
20/6/2023,80148
21/6/2023,98404
22/6/2023,140059
23/6/2023,137920
24/6/2023,92393
25/6/2023,83615
26/6/2023,86919
27/6/2023,82710
28/6/2023,88111
29/6/2023,89349
30/6/2023,97740
1/7/2023,132605
2/7/2023,100822
3/7/2023,89632
4/7/2023,89746
5/7/2023,98037
6/7/2023,98988
7/7/2023,106257
8/7/2023,147428
9/7/2023,124230
10/7/2023,106622
11/7/2023,103548
12/7/2023,109626
13/7/2023,107937
14/7/2023,115124
15/7/2023,154015
16/7/2023,118360
17/7/2023,66945
18/7/2023,93383
19/7/2023,108075
20/7/2023,118058
21/7/2023,126832
22/7/2023,175365
23/7/2023,144960
24/7/2023,115766
25/7/2023,113316
26/7/2023,114969
27/7/2023,110621
28/7/2023,103677
29/7/2023,140539
30/7/2023,141509
31/7/2023,111917
1/8/2023,116605
2/8/2023,125036
3/8/2023,126417
4/8/2023,140690
5/8/2023,187445
6/8/2023,157987
7/8/2023,122903
8/8/2023,119280
9/8/2023,131203
10/8/2023,133274
11/8/2023,138184
12/8/2023,187781
13/8/2023,159236
14/8/2023,127308
15/8/2023,127390
16/8/2023,134325
17/8/2023,132245
18/8/2023,127761
19/8/2023,179032
20/8/2023,150010
21/8/2023,128529
22/8/2023,121049
23/8/2023,123483
24/8/2023,120495
25/8/2023,125269
26/8/2023,158795
27/8/2023,129696
28/8/2023,103803
29/8/2023,82831
30/8/2023,80816
31/8/2023,79106
1/9/2023,16306
2/9/2023,29440
3/9/2023,90217
4/9/2023,80927
5/9/2023,80727
6/9/2023,79692
7/9/2023,77581
8/9/2023,51620
9/9/2023,93596
10/9/2023,87714
11/9/2023,80291
12/9/2023,79465
13/9/2023,81924
14/9/2023,73904
15/9/2023,89234
16/9/2023,131344
17/9/2023,118224
18/9/2023,92722
19/9/2023,92851
20/9/2023,94988
21/9/2023,95609
22/9/2023,101130
23/9/2023,138597
24/9/2023,114672
25/9/2023,87022
26/9/2023,84192
27/9/2023,91637
28/9/2023,105461
29/9/2023,147048
30/9/2023,183847
1/10/2023,197387
2/10/2023,168041
3/10/2023,168410
4/10/2023,154335
5/10/2023,130196
6/10/2023,104086
7/10/2023,83917
8/10/2023,58412
9/10/2023,72078
10/10/2023,89192
11/10/2023,96128
12/10/2023,101764
13/10/2023,108078
14/10/2023,145499
15/10/2023,112046
16/10/2023,92424
17/10/2023,95295
18/10/2023,93560
19/10/2023,94535
20/10/2023,100538
21/10/2023,138831
22/10/2023,106802
23/10/2023,88629
24/10/2023,92792
25/10/2023,102523
26/10/2023,110378
27/10/2023,115722
28/10/2023,143801
29/10/2023,112633
30/10/2023,94577
31/10/2023,86487
1/11/2023,94867
2/11/2023,96013
3/11/2023,103536
4/11/2023,144110
5/11/2023,115502
6/11/2023,89559
7/11/2023,90017
8/11/2023,97699
9/11/2023,94742
10/11/2023,107776
11/11/2023,154252
12/11/2023,115508
13/11/2023,98640
14/11/2023,100735
15/11/2023,103393
16/11/2023,102243
17/11/2023,111322
18/11/2023,155147
19/11/2023,122768
20/11/2023,101706
21/11/2023,96858
22/11/2023,104120
23/11/2023,104970
24/11/2023,119960
25/11/2023,162442
26/11/2023,121789
27/11/2023,94027
28/11/2023,90850
29/11/2023,95099
30/11/2023,99535
1/12/2023,110083
2/12/2023,156400
3/12/2023,118475
4/12/2023,93527
5/12/2023,92349
6/12/2023,99450
7/12/2023,105822
8/12/2023,127276
9/12/2023,173815
10/12/2023,132269
11/12/2023,103298
12/12/2023,95887
13/12/2023,101434
14/12/2023,104808
15/12/2023,120441
16/12/2023,190673
17/12/2023,132397
18/12/2023,109391
19/12/2023,102211
20/12/2023,116563
21/12/2023,102615
